StateName,StateAbbrev,Region,RightToWork,Year,UnionMembership,UnionRepresentation,Difference
South Dakota,SD,Midwest,Yes,2021,4.0,5.0,1.0
Tennessee,TN,South,Yes,2021,5.2,5.9,0.7
Texas,TX,South,Yes,2021,3.8,4.7,0.9
Utah,UT,West,Yes,2021,3.5,6.5,3.0
Vermont,VT,Northeast,No,2021,12.3,14.2,1.9
Virginia,VA,South,Yes,2021,4.8,6.5,1.7
Washington,WA,West,No,2021,19.0,20.0,1.0
West Virginia,WV,South,Yes,2021,9.6,10.5,0.9
Wisconsin,WI,Midwest,Yes,2021,7.9,9.3,1.4
Wyoming,WY,West,Yes,2021,5.7,6.9,1.2
